FORMULA_ID,FORMULA_NO,FORMULA_VERS,FORMULA_DESC1,LINE_NO,INVENTORY_ITEM_ID,ORGANIZATION_ID,TYPE,DETAIL_UOM,QTY,STD_LOSS,STD_SG,STD_RATE,STD_RATE_WITH_LOSS,STD_VALUE_WOLOSS,WITH_LOSS_QTY,STD_VALUE_WIHLOSS,CREATION_DATE,LAST_UPDATE_DATE,CREATED,UPDATED_BY
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,7,682,103,Ingredient,KGS,0.53,3,1.56,578.05,0,306.3665,0.5459,315.557495,22-Jul-2015 11:37:56 AM,26-Mar-2021 04:58:06 PM,USMAN IBRAHIM,FIZZA NAEEM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,8,1052,103,Ingredient,KGS,21,3,1.56,15.98,0,335.58,21.63,345.6474,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,9,1002,103,Ingredient,KGS,29.37,3,1.56,8.05,0,236.4285,30.2511,243.521355,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,10,1001,103,Ingredient,KGS,10,3,1.56,21.21,0,212.1,10.3,218.463,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,11,2240,103,Ingredient,KGS,6.5,3,1.56,0.01,0,0.065,6.695,0.06695,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,12,6197559,103,Ingredient,KGS,0.55,3,1.56,1176.93,0,647.3115,0.5665,666.730845,22-Jul-2015 11:37:56 AM,05-Jun-2021 11:23:42 AM,USMAN IBRAHIM,FIZZA NAEEM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,13,283,103,Ingredient,KGS,0.25,3,1.56,186.85,0,46.7125,0.2575,48.113875,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,14,6121501,103,Ingredient,KGS,2,3,1.56,138.81,0,277.62,2.06,285.9486,22-Jul-2015 11:37:56 AM,06-Jan-2022 12:31:01 PM,USMAN IBRAHIM,AKHTAR ALI
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,15,1190,103,Ingredient,KGS,0.1,3,1.56,140.72,0,14.072,0.103,14.49416,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,16,46242,103,Ingredient,KGS,0,3,1.56,348.24,0,0,0,0,22-Jul-2015 11:37:56 AM,07-Nov-2019 03:46:13 PM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,17,2240,103,Ingredient,KGS,0.5,3,1.56,0.01,0,0.005,0.515,0.00515,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,18,4543850,103,Ingredient,KGS,5.56,3,1.56,100.46,0,558.5576,5.7268,575.314328,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110077,005600 -0000 -F29/ 140,22,BPPL ECON EMUL - WHITE,19,2240,103,Ingredient,KGS,3.09,3,1.56,0.01,0,0.0309,3.1827,0.031827,22-Jul-2015 11:37:56 AM,22-Jul-2015 11:37:56 AM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,1,2240,103,Ingredient,KGS,19,3,1.56,0.01,0,0.19,19.57,0.1957,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,1,82119,103,Product,KGS,100,3,1.56,23.81,24.5243,2381,103,2452.43,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,2,2245,103,Ingredient,KGS,0.1,3,1.56,68.68,0,6.868,0.103,7.07404,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,3,6139495,103,Ingredient,KGS,0.5,3,1.56,126.69,0,63.345,0.515,65.24535,29-Jul-2015 01:54:32 PM,09-Nov-2020 08:46:02 AM,USMAN IBRAHIM,FIZZA NAEEM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,4,28,103,Ingredient,KGS,0.4,3,1.56,404.3,0,161.72,0.412,166.5716,29-Jul-2015 01:54:32 PM,28-Sept-2021 03:07:03 PM,USMAN IBRAHIM,FIZZA NAEEM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,5,154,103,Ingredient,KGS,0.3,3,1.56,121.23,0,36.369,0.309,37.46007,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,6,30,103,Ingredient,KGS,0.05,3,1.56,191.9,0,9.595,0.0515,9.88285,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,7,6156541,103,Ingredient,KGS,0.53,3,1.56,539.43,0,285.8979,0.5459,294.474837,29-Jul-2015 01:54:32 PM,08-Jun-2021 10:14:59 AM,USMAN IBRAHIM,FIZZA NAEEM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,8,1052,103,Ingredient,KGS,21,3,1.56,15.98,0,335.58,21.63,345.6474,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,9,1002,103,Ingredient,KGS,29.37,3,1.56,8.05,0,236.4285,30.2511,243.521355,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,10,1001,103,Ingredient,KGS,10,3,1.56,21.21,0,212.1,10.3,218.463,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,11,2240,103,Ingredient,KGS,6.5,3,1.56,0.01,0,0.065,6.695,0.06695,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,12,6197559,103,Ingredient,KGS,0.55,3,1.56,1176.93,0,647.3115,0.5665,666.730845,29-Jul-2015 01:54:32 PM,05-Jun-2021 11:23:42 AM,USMAN IBRAHIM,FIZZA NAEEM
